106274->,0,0,0.25,0.25,0,0,0,0,0.25,0,0,0.25,0.239669421,0.041322314,0.074380165,0.32231405,0.033057851,0,0.033057851,0.041322314,0.214876033,0,0,0.863636364
106275->,0.25,0.25,0,0.125,0,0.25,0.25,0,0.25,0,0,0,0.090909091,0.140495868,0.115702479,0.289256198,0.074380165,0,0.074380165,0.074380165,0.140495868,0,0,0.863636364
106302->,0,-0.25,-0.25,-0.125,0,0.125,0,0.25,-0.25,0.25,0,0,0.016528926,0.132231405,0.107438017,0.20661157,0.20661157,0,0.041322314,0.041322314,0.148760331,0.099173554,0,0.863636364
106306->,0,0,0.25,0,0.25,0.25,0,0,0,0,0.25,0,0.016528926,0.024793388,0.024793388,0.024793388,0,0,0.05785124,0.041322314,0.570247934,0.231404959,0.008264463,0.863636364
106307->,0.25,0,0.125,0,0.25,0.125,0,0,0,0,0,0.125,0.008264463,0.049586777,0.066115702,0.727272727,0.05785124,0,0.024793388,0.033057851,0.033057851,0,0,0.863636364
106334->,-0.25,0,-0.125,0,0.25,0.125,0.25,0,0.25,0,0,0.125,0.140495868,0.446280992,0.099173554,0.024793388,0.024793388,0,0.181818182,0.074380165,0.008264463,0,0,0.863636364
106338->,0,-0.25,0,0,0,0,0,0.125,0,0,0,0,0,0.016528926,0.05785124,0.148760331,0,0,0.041322314,0.107438017,0.561983471,0.066115702,0,0.863636364
106339->,0,0,0,0,0,-0.125,0,0,0,-0.25,0.125,0,0.016528926,0.041322314,0.05785124,0.429752066,0.008264463,0,0.016528926,0.090909091,0.32231405,0.016528926,0,0.863636364
106367->,0,-1,0,-0.25,0,0,0,-0.5,0,-0.25,0,0,0.165289256,0.363636364,0.05785124,0.041322314,0,0,0.330578512,0.041322314,0,0,0,0.863636364
106368->,0,-0.25,-0.125,0,0,-0.25,0,-0.25,0,0,0,-0.5,0.115702479,0.272727273,0.157024793,0.20661157,0.008264463,0,0.223140496,0.016528926,0,0,0,0.863636364
106817->,0,0.5,0,-0.25,-0.5,0.25,0,0.5,0,0.25,0,0.5,0.033057851,0.033057851,0.066115702,0.429752066,0.033057851,0,0.024793388,0.066115702,0.297520661,0.016528926,0,0.863636364
106845->,-0.125,-0.125,0.25,0.125,0,0.25,0,-0.25,0,-0.25,0,0,0.024793388,0.041322314,0.107438017,0.181818182,0.140495868,0,0.049586777,0.066115702,0.32231405,0.066115702,0,0.863636364
106849->,0.5,0.25,-0.25,0,0.5,0,0.5,0.25,0.25,0,0.5,0.25,0.008264463,0.016528926,0.033057851,0.396694215,0.049586777,0,0.016528926,0.041322314,0.289256198,0.148760331,0,0.863636364
106881->,0.25,0,0,-0.125,0.25,0.125,0.25,0,0,-0.125,0.25,0.125,0,0.033057851,0.041322314,0.008264463,0,0,0.041322314,0.132231405,0.73553719,0.008264463,0,0.863636364
106909->,0,0,0,0,0,0,-0.125,-1,0,0,0,0,0.710743802,0.099173554,0,0,0,0,0.107438017,0.082644628,0,0,0,0.863636364
106912->,0.5,0.25,0,0.25,0,-0.25,0.5,-0.25,0,0,0.25,-0.25,0.024793388,0.041322314,0.082644628,0.132231405,0,0,0.033057851,0.090909091,0.421487603,0.173553719,0,0.863636364
106913->,0,0.25,-0.125,-0.5,-0.25,-0.375,0,0,-0.125,-0.25,0.125,0.25,0.016528926,0.05785124,0.066115702,0.239669421,0.024793388,0,0.082644628,0.115702479,0.347107438,0.049586777,0,0.863636364
107388->,0,0,0,0,0,0.25,0,0,0,0,0,0,0.520661157,0.008264463,0.024793388,0.008264463,0,0,0.049586777,0.024793388,0.280991736,0.082644628,0,0.863636364
107391->,0,-0.5,-0.5,-0.25,0,0.25,0,-0.5,-0.5,-0.25,0,0.25,0.305785124,0.024793388,0.024793388,0.115702479,0.024793388,0,0.041322314,0.016528926,0.247933884,0.198347107,0,0.863636364
107392->,-0.5,-0.25,0.25,0,0.25,0.25,-0.5,-0.25,0,0,0,0,0,0.033057851,0.090909091,0.611570248,0.107438017,0,0.008264463,0.05785124,0.090909091,0,0,0.863636364
107423->,-0.5,0,-0.25,0,0,0,-0.5,-0.25,-0.25,-0.125,0.25,0.125,0.016528926,0.05785124,0.041322314,0.024793388,0,0,0.041322314,0.05785124,0.652892562,0.107438017,0,0.863636364
107424->,-0.25,0,0,0,0,0.125,-0.25,-0.125,0,0.125,0,-0.125,0,0.024793388,0.049586777,0.504132231,0.041322314,0,0.049586777,0.074380165,0.256198347,0,0,0.863636364
107455->,0,-0.25,0,-0.25,0.25,0,-0.25,0,-0.125,-0.25,0.125,0,0.008264463,0.033057851,0.05785124,0.165289256,0,0,0.033057851,0.132231405,0.512396694,0.05785124,0,0.863636364
107456->,0,-0.25,0,-0.25,0,-0.125,-0.125,-0.25,0.125,0,-0.125,0,0.016528926,0.041322314,0.115702479,0.247933884,0,0,0.024793388,0.090909091,0.388429752,0.074380165,0,0.863636364
107457->,0,-0.25,-0.125,-0.125,-0.125,-0.125,0.125,0,-0.125,-0.125,0.25,0.125,0.066115702,0.049586777,0.041322314,0.73553719,0.016528926,0,0,0,0.066115702,0.024793388,0,0.863636364
107484->,0,0,0,-0.125,0,0,0,0,0,-0.125,0,0,0.223140496,0.685950413,0.049586777,0,0,0,0.041322314,0,0,0,0,0.863636364
107489->,-0.25,-0.5,-0.125,0,-0.25,-0.125,0,0,-0.125,0,0.125,0.25,0.016528926,0.041322314,0.049586777,0.355371901,0.231404959,0,0.024793388,0.016528926,0.214876033,0.049586777,0,0.863636364
105222->,0,0,0,0,-0.125,0,-0.125,0,0,-0.375,0,0.125,0.049586777,0.157024793,0.074380165,0.619834711,0,0,0.024793388,0.033057851,0.041322314,0,0,0.772727273
105249->,0,-0.25,0.125,-0.75,0.25,-0.125,0.25,-0.125,0,0,0.5,-0.875,0.016528926,0,0,0.190082645,0.355371901,0,0.347107438,0.090909091,0,0,0,0.772727273
105252->,0.25,0,0,0,0,0,0.125,-0.25,0,0,-0.125,-0.25,0.016528926,0.157024793,0.082644628,0.231404959,0.049586777,0,0.033057851,0.041322314,0.272727273,0.115702479,0,0.772727273
105253->,0,0,0,0,0,-0.25,0,0,0,0,0,0,0.016528926,0.05785124,0.107438017,0.297520661,0.024793388,0,0.041322314,0.115702479,0.338842975,0,0,0.772727273
105254->,0,0,0,0,-0.25,-0.125,0,0,-0.375,-0.25,0.125,0.25,0.008264463,0.024793388,0.033057851,0.421487603,0.099173554,0,0.008264463,0.033057851,0.256198347,0.115702479,0,0.772727273
105286->,0,0,0,0,-0.5,0,0,0.5,-0.25,0,0.25,0.75,0.008264463,0.024793388,0.049586777,0.239669421,0,0,0.033057851,0.05785124,0.545454545,0.041322314,0,0.772727273
105315->,-0.25,-0.25,-0.25,-0.5,0,-0.25,0,0,0,0.25,0,-0.25,0,0.008264463,0.024793388,0.454545455,0.107438017,0,0.05785124,0.041322314,0.297520661,0.008264463,0,0.772727273
105318->,0,-0.25,0,0,0.75,-0.75,0.5,-0.875,0,0,0.75,-0.875,0.024793388,0.024793388,0.090909091,0.371900826,0.049586777,0.016528926,0.024793388,0.082644628,0.239669421,0.074380165,0,0.772727273
