455->	1	0.5	0.5	1	0.5	0.25	0.25	0.5	1	0.5	0.5	0.5	0.5	0.5	0.25	0.25	0	0	0	0.5	0.5	-0.5	0.5	0	0	-0.25	0	0.25	0.25	-0.25	0	0	0.024793388	0.074380165	0.099173554	0.289256198	0.016528926	0.008264463	0.074380165	0.066115702	0.32231405	0.016528926	0.008264463	0.045454545	0.045454545
485->	0.5	0.25	0.125	0.125	1	0.125	0.25	0.125	1	0.125	0.25	0.125	0.5	0.125	0.25	0.125	-0.5	0.125	-0.125	0	0.25	0	0.875	0.125	0.5	0	0	0	0.75	0	0.375	0.125	0.066115702	0.074380165	0.016528926	0.347107438	0	0	0.107438017	0.123966942	0.26446281	0	0	0.045454545	0.227272727
1060->	0	0	0.5	1	0.25	0.125	0.25	1	0.25	0.125	0.125	1	0.125	1	0.125	1	-0.25	-0.125	0.375	0	0	-0.5	0.125	-0.875	0.125	-0.875	0.125	0	0	-0.875	-0.875	-0.875	0.033057851	0.049586777	0.099173554	0.438016529	0	0	0.033057851	0.074380165	0.107438017	0.123966942	0.041322314	0.045454545	0.318181818
1420->	1	0.125	0.5	0.5	1	0.125	0.5	0.25	1	0.125	0.5	0.5	1	0.125	0.5	0.5	0	0	0	0	0.875	0	0.875	0	0	0	0	-0.25	0.5	-0.125	0.875	0	0.363636364	0.066115702	0.041322314	0.148760331	0.016528926	0	0.157024793	0.016528926	0.132231405	0.05785124	0	0.045454545	0.409090909
2145->	1	0.125	0.125	0.125	0.5	0.25	0.125	0.125	1	0.125	0.125	0.125	0.5	0.125	0.125	0.125	0	0	0	0	0.875	0	0.875	0	0	0.125	0	0	0.375	0.125	0.375	0	0.074380165	0.033057851	0.016528926	0.26446281	0	0	0.132231405	0.148760331	0.330578512	0	0	0.045454545	0.136363636
2625->	0.25	0.25	0.125	1	0.5	0.25	0.125	1	0.25	0.25	0.125	1	0.5	0.25	0.125	1	0	0	0	0	0	-0.875	0	-0.875	0	0	0	0	0.375	-0.75	0.25	-0.875	0.008264463	0.05785124	0.314049587	0.561983471	0	0	0.008264463	0.016528926	0.033057851	0	0	0.045454545	0.318181818
2687->	0.5	0.5	0.5	0.125	0.5	0.5	0.25	0.125	0.5	1	1	0.125	0.25	0.5	0.5	0.25	0	-0.5	-0.5	0	0	0.375	-0.5	0.875	0.25	0	-0.25	-0.125	0.25	0.375	-0.25	0.25	0.074380165	0.016528926	0.074380165	0.181818182	0	0	0.082644628	0.198347107	0.355371901	0.016528926	0	0.045454545	0.045454545
3132->	0.25	0.25	0.5	0.5	0.5	0.25	0.5	0.5	0.25	0.25	0.25	0.25	0.25	0.25	1	0.5	0	0	0.25	0.25	0	0	0	0	0.25	0	-0.5	0	0	-0.25	0	0.5	0.008264463	0.033057851	0.082644628	0.231404959	0	0	0.016528926	0.033057851	0.570247934	0.024793388	0	0.045454545	0.318181818
4288->	0	0.25	0.125	0.125	0	0.25	0	0.125	0.25	0.5	0.125	0.125	0.5	0.25	0.125	0.25	-0.25	-0.25	0	0	-0.25	0	-0.25	0	-0.5	0	-0.125	-0.125	0	0.125	0.25	-0.125	0.132231405	0.26446281	0.190082645	0.20661157	0.016528926	0	0.140495868	0.033057851	0.016528926	0	0	0.045454545	0.045454545
4859->	0.5	0.125	0.5	0	0.5	0.125	0.5	0	0.25	1	0.5	0	0.5	0.5	0.25	0	0.25	-0.875	0	0	0.375	0.5	-0.75	0.5	0	-0.375	0.25	0	0	0.125	0	0.25	0	0.016528926	0.074380165	0.876033058	0	0	0.008264463	0.016528926	0.008264463	0	0	0.045454545	0.227272727
